year,County_of_Residence,Source_of_Payment,Births
2016-01-01,"Davis County, UT",Medicaid,924
2016-01-01,"Unidentified Counties, WV",Medicaid,7755
2016-01-01,"Harford County, MD",Self Pay,46
2016-01-01,"Fayette County, PA",Self Pay,15
2016-01-01,"Guadalupe County, TX",Self Pay,227
2016-01-01,"Montgomery County, AL",Private Insurance,966
2016-01-01,"Jefferson County, KY",Unknown or Not Stated,191
2016-01-01,"St. Louis County, MO",Unknown or Not Stated,197
2016-01-01,"Butler County, OH",Unknown or Not Stated,14
2016-01-01,"Pulaski County, AR",Other,72
2016-01-01,"Indian River County, FL",Other,113
2016-01-01,"Douglas County, GA",Other,127
2016-01-01,"Mahoning County, OH",Other,35
2016-01-01,"Maricopa County, AZ",Medicaid,27582
2016-01-01,"San Bernardino County, CA",Medicaid,16199
2016-01-01,"Charles County, MD",Medicaid,592
2016-01-01,"Harford County, MD",Medicaid,724
2016-01-01,"Jackson County, MI",Medicaid,858
2016-01-01,"DeSoto County, MS",Medicaid,937
2016-01-01,"Jasper County, MO",Medicaid,854
2016-01-01,"Unidentified Counties, NV",Medicaid,1192
2016-01-01,"Unidentified Counties, NM",Medicaid,5958
2016-01-01,"Erie County, NY",Medicaid,2392
2016-01-01,"Nassau County, NY",Medicaid,4531
2016-01-01,"Stafford County, VA",Medicaid,415
2016-01-01,"Alamance County, NC",Self Pay,191
2016-01-01,"Cleveland County, OK",Self Pay,60
2016-01-01,"Beaufort County, SC",Self Pay,97
2016-01-01,"Lee County, AL",Private Insurance,958
2016-01-01,"Bartow County, GA",Private Insurance,514
2016-01-01,"Will County, IL",Private Insurance,5104
2016-01-01,"Randolph County, NC",Private Insurance,661
2016-01-01,"Trumbull County, OH",Private Insurance,805
2016-01-01,"Brazos County, TX",Private Insurance,1321
2016-01-01,"Denton County, TX",Private Insurance,6729
2016-01-01,"Ellis County, TX",Private Insurance,1196
2016-01-01,"Galveston County, TX",Private Insurance,2059
2016-01-01,"Tarrant County, TX",Private Insurance,12707
2016-01-01,"Davis County, UT",Private Insurance,4048
2016-01-01,"Utah County, UT",Private Insurance,8252
2016-01-01,"Richland County, SC",Unknown or Not Stated,10
2016-01-01,"Unidentified Counties, FL",Other,258
2016-01-01,"Norfolk County, MA",Other,129
2016-01-01,"Warren County, NJ",Other,23
2016-01-01,"Rensselaer County, NY",Other,55
2016-01-01,"Unidentified Counties, SC",Other,217
2016-01-01,"Arlington County, VA",Other,51
2016-01-01,"Monterey County, CA",Medicaid,3279
2016-01-01,"Cumberland County, ME",Medicaid,715
2016-01-01,"Unidentified Counties, ME",Medicaid,1942
2016-01-01,"Hunterdon County, NJ",Medicaid,68
2016-01-01,"Sussex County, NJ",Medicaid,216
2016-01-01,"Santa Fe County, NM",Medicaid,731
2016-01-01,"Miami County, OH",Medicaid,468
2016-01-01,"Lake County, IL",Self Pay,46
2016-01-01,"Forsyth County, NC",Self Pay,69
2016-01-01,"Lubbock County, TX",Self Pay,115
2016-01-01,"Orange County, CA",Private Insurance,20387
2016-01-01,"Peoria County, IL",Private Insurance,1222
2016-01-01,"Rock Island County, IL",Private Insurance,812
2016-01-01,"Kent County, MI",Private Insurance,5501
2016-01-01,"Oakland County, MI",Private Insurance,10238
2016-01-01,"Ontario County, NY",Private Insurance,602
2016-01-01,"Delaware County, OH",Private Insurance,1714
2016-01-01,"Butler County, PA",Private Insurance,1447
2016-01-01,"Benton County, WA",Private Insurance,1249
2016-01-01,"Placer County, CA",Other,147
2016-01-01,"Linn County, IA",Other,10
2016-01-01,"Franklin County, MO",Other,21
2016-01-01,"Craven County, NC",Other,550
2016-01-01,"Monroe County, IN",Medicaid,282
2016-01-01,"Anchorage Borough, AK",Self Pay,128
2016-01-01,"Plymouth County, MA",Self Pay,39
2016-01-01,"Monroe County, MI",Self Pay,21
2016-01-01,"Washington County, MN",Self Pay,42
2016-01-01,"Lorain County, OH",Self Pay,61
2016-01-01,"Lackawanna County, PA",Self Pay,29
2016-01-01,"Williamson County, TX",Self Pay,317
2016-01-01,"Merrimack County, NH",Private Insurance,864
2016-01-01,"Kitsap County, WA",Private Insurance,1249
2016-01-01,"Anchorage Borough, AK",Unknown or Not Stated,11
2016-01-01,"St. Clair County, IL",Unknown or Not Stated,10
2016-01-01,"Shawnee County, KS",Unknown or Not Stated,10
2016-01-01,"Hamilton County, OH",Unknown or Not Stated,26
2016-01-01,"Hillsborough County, FL",Other,120
2016-01-01,"Volusia County, FL",Other,30
2016-01-01,"Ulster County, NY",Other,60
2016-01-01,"Cuyahoga County, OH",Other,315
2016-01-01,"Richland County, SC",Other,361
2016-01-01,"Unidentified Counties, TN",Other,456
2016-01-01,"Unidentified Counties, TX",Other,2280
2016-01-01,"Jefferson Parish, LA",Medicaid,3835
2016-01-01,"Muskegon County, MI",Medicaid,1270
2016-01-01,"Dorchester County, SC",Medicaid,753
2016-01-01,"Spartanburg County, SC",Medicaid,1857
2016-01-01,"Greene County, OH",Self Pay,30
2016-01-01,"Cameron County, TX",Self Pay,1205
2016-01-01,"Madison County, AL",Private Insurance,2292
2016-01-01,"Unidentified Counties, AL",Private Insurance,8780
2016-01-01,"Richland County, SC",Private Insurance,2085
2016-01-01,"Bell County, TX",Private Insurance,1714
2016-01-01,"Brazoria County, TX",Private Insurance,2618
2016-01-01,"Shelby County, AL",Other,44
2016-01-01,"Fairfield County, CT",Other,62
2016-01-01,"Osceola County, FL",Other,23
2016-01-01,"Warren County, OH",Other,71
2016-01-01,"Shelby County, AL",Medicaid,613
2016-01-01,"Saline County, AR",Medicaid,330
2016-01-01,"Tulare County, CA",Medicaid,5082
2016-01-01,"New London County, CT",Medicaid,1017
2016-01-01,"La Porte County, IN",Medicaid,722
2016-01-01,"Hampshire County, MA",Medicaid,165
2016-01-01,"Mercer County, NJ",Medicaid,1435
2016-01-01,"Craven County, NC",Medicaid,501
2016-01-01,"Columbiana County, OH",Medicaid,537
2016-01-01,"Monroe County, PA",Medicaid,593
2016-01-01,"Westmoreland County, PA",Medicaid,862
2016-01-01,"Kaufman County, TX",Medicaid,720
2016-01-01,"Essex County, MA",Self Pay,53
2016-01-01,"Anoka County, MN",Self Pay,65
2016-01-01,"Lancaster County, NE",Self Pay,127
2016-01-01,"Clark County, NV",Self Pay,1765
2016-01-01,"New York County, NY",Self Pay,145
2016-01-01,"Luzerne County, PA",Self Pay,61
2016-01-01,"Polk County, FL",Private Insurance,2668
2016-01-01,"Fayette County, GA",Private Insurance,558
2016-01-01,"Hendricks County, IN",Private Insurance,1344
2016-01-01,"Rapides Parish, LA",Private Insurance,551
2016-01-01,"Lancaster County, NE",Private Insurance,2587
2016-01-01,"Craven County, NC",Private Insurance,337
2016-01-01,"Iredell County, NC",Private Insurance,979
2016-01-01,"Montgomery County, TX",Private Insurance,3722
2016-01-01,"Nueces County, TX",Private Insurance,1489
2016-01-01,"Wichita County, TX",Private Insurance,559
2016-01-01,"Salt Lake County, UT",Private Insurance,10740
2016-01-01,"Honolulu County, HI",Unknown or Not Stated,29
2016-01-01,"Cowlitz County, WA",Unknown or Not Stated,30
2016-01-01,"Yavapai County, AZ",Other,34
2016-01-01,"Unidentified Counties, MI",Other,219
2016-01-01,"Washoe County, NV",Other,121
2016-01-01,"Jefferson County, NY",Other,948
2016-01-01,"Humboldt County, CA",Medicaid,615
2016-01-01,"Unidentified Counties, HI",Medicaid,394
2016-01-01,"Douglas County, OR",Medicaid,686
2016-01-01,"Sarasota County, FL",Self Pay,151
2016-01-01,"Forsyth County, GA",Self Pay,66
2016-01-01,"Onslow County, NC",Self Pay,44
2016-01-01,"Richland County, SC",Self Pay,176
2016-01-01,"New Haven County, CT",Private Insurance,4221
2016-01-01,"Sarasota County, FL",Private Insurance,1459
2016-01-01,"St. Joseph County, IN",Private Insurance,1749
2016-01-01,"Johnson County, KS",Private Insurance,5843
2016-01-01,"Plymouth County, MA",Private Insurance,3548
2016-01-01,"Ottawa County, MI",Private Insurance,2515
2016-01-01,"Jasper County, MO",Private Insurance,731
2016-01-01,"Unidentified Counties, NY",Private Insurance,9980
2016-01-01,"Catawba County, NC",Private Insurance,570
2016-01-01,"Wayne County, OH",Private Insurance,662
2016-01-01,"Unidentified Counties, PA",Private Insurance,8850
2016-01-01,"Unidentified Counties, GA",Unknown or Not Stated,110
2016-01-01,"Larimer County, CO",Other,39
2016-01-01,"Hall County, GA",Other,219
2016-01-01,"Jackson County, MS",Other,58
2016-01-01,"Boone County, MO",Other,49
2016-01-01,"Robeson County, NC",Other,13
2016-01-01,"Lubbock County, TX",Other,141
2016-01-01,"Yavapai County, AZ",Medicaid,1100
2016-01-01,"Kent County, DE",Medicaid,911
2016-01-01,"District of Columbia, DC",Medicaid,3776
2016-01-01,"Bay County, FL",Medicaid,1221
2016-01-01,"Douglas County, GA",Medicaid,860
2016-01-01,"Porter County, IN",Medicaid,506
2016-01-01,"Bernalillo County, NM",Medicaid,3747
2016-01-01,"Guilford County, NC",Medicaid,2756
2016-01-01,"Greene County, OH",Medicaid,544
2016-01-01,"Collin County, TX",Medicaid,2020
2016-01-01,"McLennan County, TX",Medicaid,1981
2016-01-01,"Fayette County, KY",Self Pay,105
2016-01-01,"Atlantic County, NJ",Self Pay,16
2016-01-01,"Kings County, NY",Self Pay,271
2016-01-01,"Shelby County, TN",Self Pay,360
2016-01-01,"Horry County, SC",Private Insurance,1150
2016-01-01,"Shelby County, TN",Private Insurance,4524
2016-01-01,"Cameron County, TX",Private Insurance,1277
2016-01-01,"Palm Beach County, FL",Unknown or Not Stated,54
2016-01-01,"Unidentified Counties, OR",Unknown or Not Stated,30
2016-01-01,"Riverside County, CA",Other,1437
2016-01-01,"Alachua County, FL",Other,18
2016-01-01,"Unidentified Counties, IA",Other,220
2016-01-01,"Bronx County, NY",Other,133
2016-01-01,"Cleveland County, OK",Other,158
2016-01-01,"Dorchester County, SC",Other,175
2016-01-01,"Skagit County, WA",Other,62
2016-01-01,"Larimer County, CO",Medicaid,1039
2016-01-01,"Fairfield County, CT",Medicaid,3060
2016-01-01,"Sarasota County, FL",Medicaid,1219
2016-01-01,"Suffolk County, MA",Medicaid,3139
2016-01-01,"Unidentified Counties, MI",Medicaid,9922
2016-01-01,"Unidentified Counties, MN",Medicaid,7711
2016-01-01,"Atlantic County, NJ",Medicaid,1343
2016-01-01,"Gloucester County, NJ",Medicaid,746
2016-01-01,"Unidentified Counties, PA",Medicaid,5306
2016-01-01,"Spokane County, WA",Medicaid,2898
2016-01-01,"Denver County, CO",Self Pay,185
2016-01-01,"Indian River County, FL",Self Pay,18
2016-01-01,"Dutchess County, NY",Self Pay,16
2016-01-01,"Randolph County, NC",Self Pay,176
2016-01-01,"Horry County, SC",Self Pay,120
2016-01-01,"Winnebago County, IL",Private Insurance,1519
2016-01-01,"Shawnee County, KS",Private Insurance,1092
2016-01-01,"Howard County, MD",Private Insurance,2506
2016-01-01,"Clay County, MO",Private Insurance,2113
2016-01-01,"San Juan County, NM",Private Insurance,446
2016-01-01,"Blount County, TN",Private Insurance,585
2016-01-01,"Randall County, TX",Private Insurance,948
2016-01-01,"Unidentified Counties, WY",Private Insurance,4108
2016-01-01,"Alachua County, FL",Unknown or Not Stated,25
2016-01-01,"Marion County, IN",Unknown or Not Stated,16
2016-01-01,"Montgomery County, PA",Unknown or Not Stated,264
2016-01-01,"York County, PA",Unknown or Not Stated,103
2016-01-01,"Lake County, IN",Other,53
2016-01-01,"Morris County, NJ",Other,249
2016-01-01,"Washington County, RI",Other,16
2016-01-01,"Chesapeake city, VA",Other,108
2016-01-01,"Blair County, PA",Medicaid,467
2016-01-01,"Arapahoe County, CO",Self Pay,149
2016-01-01,"Volusia County, FL",Self Pay,148
2016-01-01,"Canyon County, ID",Self Pay,229
2016-01-01,"Kenton County, KY",Self Pay,126
2016-01-01,"El Dorado County, CA",Private Insurance,969
2016-01-01,"Missoula County, MT",Private Insurance,665
2016-01-01,"Unidentified Counties, AK",Unknown or Not Stated,182
2016-01-01,"Suffolk County, NY",Unknown or Not Stated,16
2016-01-01,"Wichita County, TX",Unknown or Not Stated,31
2016-01-01,"Pinal County, AZ",Other,228
2016-01-01,"Douglas County, CO",Other,56
2016-01-01,"Pasco County, FL",Other,49
2016-01-01,"Muscogee County, GA",Other,757
2016-01-01,"St. Tammany Parish, LA",Other,87
2016-01-01,"Bristol County, MA",Other,140
2016-01-01,"Unidentified Counties, NV",Other,161
2016-01-01,"Dallas County, TX",Other,446
2016-01-01,"Kings County, CA",Medicaid,1274
2016-01-01,"Brevard County, FL",Medicaid,2611
2016-01-01,"Pasco County, FL",Medicaid,2643
2016-01-01,"Pinellas County, FL",Medicaid,4201
2016-01-01,"Polk County, FL",Medicaid,4714
2016-01-01,"Carroll County, GA",Medicaid,659
2016-01-01,"Cobb County, GA",Medicaid,3257
2016-01-01,"Paulding County, GA",Medicaid,622
2016-01-01,"Canyon County, ID",Medicaid,1472
2016-01-01,"Polk County, IA",Medicaid,2619
2016-01-01,"Harnett County, NC",Medicaid,680
2016-01-01,"Johnson County, TX",Medicaid,1048
2016-01-01,"Douglas County, GA",Self Pay,90
2016-01-01,"Will County, IL",Self Pay,73
2016-01-01,"Wyandotte County, KS",Self Pay,448
2016-01-01,"Cumberland County, NJ",Self Pay,299
2016-01-01,"Mahoning County, OH",Self Pay,41
2016-01-01,"Escambia County, FL",Private Insurance,1251
2016-01-01,"Honolulu County, HI",Private Insurance,5250
2016-01-01,"Kane County, IL",Private Insurance,3854
2016-01-01,"Jefferson Parish, LA",Private Insurance,1910
2016-01-01,"Muskegon County, MI",Private Insurance,822
2016-01-01,"Collin County, TX",Private Insurance,8012
2016-01-01,"Lubbock County, TX",Private Insurance,1773
2016-01-01,"Brevard County, FL",Unknown or Not Stated,32
2016-01-01,"Washington County, AR",Other,56
2016-01-01,"Ascension Parish, LA",Other,11
2016-01-01,"Hampshire County, MA",Other,22
2016-01-01,"Suffolk County, MA",Other,190
2016-01-01,"Jasper County, MO",Other,14
2016-01-01,"Niagara County, NY",Other,174
2016-01-01,"Washington County, OR",Other,61
2016-01-01,"San Mateo County, CA",Medicaid,2100
2016-01-01,"Stanislaus County, CA",Medicaid,4338
2016-01-01,"Kennebec County, ME",Medicaid,470
2016-01-01,"Unidentified Counties, NJ",Medicaid,626
2016-01-01,"Westchester County, NY",Medicaid,3551
2016-01-01,"Alexandria city, VA",Medicaid,667
2016-01-01,"Snohomish County, WA",Medicaid,3309
2016-01-01,"Collier County, FL",Self Pay,554
2016-01-01,"Palm Beach County, FL",Self Pay,1004
2016-01-01,"Baltimore County, MD",Self Pay,440
2016-01-01,"Howard County, MD",Self Pay,97
2016-01-01,"Prince George's County, MD",Self Pay,477
2016-01-01,"Sarpy County, NE",Self Pay,55
2016-01-01,"Wake County, NC",Self Pay,1171
2016-01-01,"Brazoria County, TX",Self Pay,107
2016-01-01,"Smith County, TX",Self Pay,282
2016-01-01,"Fairfax County, VA",Self Pay,317
2016-01-01,"Pierce County, WA",Self Pay,75
2016-01-01,"Merced County, CA",Private Insurance,2219
2016-01-01,"Brevard County, FL",Private Insurance,2425
2016-01-01,"Citrus County, FL",Private Insurance,292
2016-01-01,"Unidentified Counties, ID",Private Insurance,5534
2016-01-01,"Tippecanoe County, IN",Private Insurance,1362
2016-01-01,"Kennebec County, ME",Private Insurance,623
2016-01-01,"Scott County, MN",Private Insurance,1431
2016-01-01,"Mercer County, NJ",Private Insurance,2273
2016-01-01,"Cass County, ND",Private Insurance,1581
2016-01-01,"Cumberland County, PA",Private Insurance,1827
2016-01-01,"Williamson County, TN",Private Insurance,1873
2016-01-01,"Marion County, FL",Unknown or Not Stated,40
2016-01-01,"Anoka County, MN",Unknown or Not Stated,12
2016-01-01,"Lackawanna County, PA",Unknown or Not Stated,579
2016-01-01,"Carroll County, GA",Other,189
2016-01-01,"Madison County, IL",Other,28
2016-01-01,"Lake County, FL",Medicaid,1706
2016-01-01,"St. Tammany Parish, LA",Medicaid,1488
2016-01-01,"Sandoval County, NM",Medicaid,716
2016-01-01,"Oklahoma County, OK",Medicaid,6684
2016-01-01,"Allegheny County, PA",Medicaid,3615
2016-01-01,"Jefferson County, TX",Medicaid,2269
2016-01-01,"Weber County, UT",Medicaid,1130
2016-01-01,"Essex County, NJ",Self Pay,1050
2016-01-01,"Galveston County, TX",Self Pay,72
2016-01-01,"Bibb County, GA",Private Insurance,554
2016-01-01,"Taylor County, TX",Private Insurance,899
2016-01-01,"Sumner County, TN",Unknown or Not Stated,112
2016-01-01,"Okaloosa County, FL",Other,921
2016-01-01,"St. Johns County, FL",Other,60
2016-01-01,"Worcester County, MA",Other,177
2016-01-01,"Chautauqua County, NY",Other,47
2016-01-01,"Kings County, NY",Other,200
2016-01-01,"Philadelphia County, PA",Other,433
2016-01-01,"Fresno County, CA",Medicaid,10476
2016-01-01,"New Haven County, CT",Medicaid,3877
2016-01-01,"Seminole County, FL",Medicaid,1907
2016-01-01,"Unidentified Counties, IA",Medicaid,8350
2016-01-01,"Missoula County, MT",Medicaid,465
2016-01-01,"Medina County, OH",Medicaid,394
2016-01-01,"Butler County, PA",Medicaid,320
2016-01-01,"Ellis County, TX",Medicaid,874
2016-01-01,"Montgomery County, TX",Medicaid,3289
2016-01-01,"Walworth County, WI",Medicaid,385
2016-01-01,"Harrison County, MS",Self Pay,132
2016-01-01,"Butler County, OH",Self Pay,208
2016-01-01,"Columbiana County, OH",Self Pay,49
2016-01-01,"Hamilton County, TN",Self Pay,116
2016-01-01,"Clarke County, GA",Private Insurance,568
2016-01-01,"Marion County, IN",Private Insurance,5625
2016-01-01,"Baltimore city, MD",Private Insurance,3086
2016-01-01,"St. Louis County, MO",Private Insurance,7638
2016-01-01,"Dona Ana County, NM",Private Insurance,642
2016-01-01,"Bronx County, NY",Private Insurance,4223
2016-01-01,"Henderson County, NC",Private Insurance,431
2016-01-01,"Wayne County, NC",Private Insurance,576
2016-01-01,"Unidentified Counties, NC",Private Insurance,10963
2016-01-01,"Canadian County, OK",Private Insurance,1055
2016-01-01,"Dallas County, TX",Private Insurance,14459
2016-01-01,"Hays County, TX",Private Insurance,1427
2016-01-01,"Henrico County, VA",Private Insurance,2569
2016-01-01,"Contra Costa County, CA",Unknown or Not Stated,15
2016-01-01,"Unidentified Counties, AK",Other,1239
2016-01-01,"Adams County, CO",Other,134
2016-01-01,"Escambia County, FL",Other,416
2016-01-01,"Wake County, NC",Other,180
2016-01-01,"El Paso County, TX",Other,1937
2016-01-01,"Unidentified Counties, VA",Other,629
2016-01-01,"San Luis Obispo County, CA",Medicaid,1056
2016-01-01,"Minnehaha County, SD",Medicaid,799
2016-01-01,"Thurston County, WA",Medicaid,1135
2016-01-01,"Whatcom County, WA",Medicaid,939
2016-01-01,"Madison County, IL",Self Pay,29
2016-01-01,"Unidentified Counties, KS",Self Pay,960
2016-01-01,"Bernalillo County, NM",Self Pay,633
2016-01-01,"Catawba County, NC",Self Pay,212
2016-01-01,"Monroe County, IN",Private Insurance,884
2016-01-01,"Allegan County, MI",Private Insurance,842
2016-01-01,"Unidentified Counties, MI",Private Insurance,10984
2016-01-01,"Dakota County, MN",Private Insurance,3638
2016-01-01,"Washington County, MN",Private Insurance,2266
2016-01-01,"Bucks County, PA",Private Insurance,3993
2016-01-01,"Lane County, OR",Unknown or Not Stated,19
2016-01-01,"Macon County, IL",Other,281
2016-01-01,"Delaware County, IN",Other,10
2016-01-01,"Macomb County, MI",Other,64
2016-01-01,"Lackawanna County, PA",Other,23
2016-01-01,"Lee County, AL",Medicaid,694
2016-01-01,"Morgan County, AL",Medicaid,872
2016-01-01,"New Castle County, DE",Medicaid,2673
2016-01-01,"Cook County, IL",Medicaid,28660
2016-01-01,"Scott County, IA",Medicaid,812
2016-01-01,"Sedgwick County, KS",Medicaid,2557
2016-01-01,"Warren County, KY",Medicaid,597
2016-01-01,"Macomb County, MI",Medicaid,3348
2016-01-01,"Monroe County, MI",Medicaid,460
2016-01-01,"Camden County, NJ",Medicaid,2347
2016-01-01,"Henderson County, NC",Medicaid,625
2016-01-01,"Wood County, OH",Medicaid,320
2016-01-01,"Cambria County, PA",Medicaid,574
2016-01-01,"Fayette County, PA",Medicaid,678
2016-01-01,"Anderson County, SC",Medicaid,1099
2016-01-01,"Unidentified Counties, AR",Private Insurance,9772
2016-01-01,"Henry County, GA",Private Insurance,1075
2016-01-01,"Whitfield County, GA",Private Insurance,528
2016-01-01,"Madison County, IN",Private Insurance,555
2016-01-01,"Unidentified Counties, KY",Private Insurance,13704
2016-01-01,"Passaic County, NJ",Private Insurance,3109
2016-01-01,"Brunswick County, NC",Private Insurance,400
2016-01-01,"Unidentified Counties, SC",Private Insurance,4153
2016-01-01,"Grayson County, TX",Private Insurance,661
2016-01-01,"Unidentified Counties, AZ",Unknown or Not Stated,12
2016-01-01,"Hamilton County, IN",Other,76
2016-01-01,"Johnson County, KS",Other,101
2016-01-01,"Unidentified Counties, NM",Other,945
2016-01-01,"Queens County, NY",Other,496
2016-01-01,"Davis County, UT",Other,360
2016-01-01,"Chittenden County, VT",Other,31
2016-01-01,"Madera County, CA",Medicaid,1733
2016-01-01,"Dona Ana County, NM",Medicaid,1502
2016-01-01,"Chautauqua County, NY",Medicaid,655
2016-01-01,"Delaware County, OH",Medicaid,267
2016-01-01,"Cowlitz County, WA",Medicaid,439
2016-01-01,"La Crosse County, WI",Medicaid,350
2016-01-01,"Ottawa County, MI",Self Pay,62
2016-01-01,"Unidentified Counties, NE",Self Pay,328
2016-01-01,"Warren County, OH",Self Pay,67
2016-01-01,"Leon County, FL",Private Insurance,1620
2016-01-01,"LaSalle County, IL",Private Insurance,652
2016-01-01,"Unidentified Counties, MD",Private Insurance,2573
2016-01-01,"Jackson County, MO",Private Insurance,4534
2016-01-01,"Hamilton County, OH",Private Insurance,5381
2016-01-01,"Virginia Beach city, VA",Private Insurance,4216
2016-01-01,"Kenosha County, WI",Private Insurance,1017
2016-01-01,"Montgomery County, MD",Unknown or Not Stated,44
2016-01-01,"Yakima County, WA",Unknown or Not Stated,288
2016-01-01,"Pinellas County, FL",Other,156
2016-01-01,"Shawnee County, KS",Other,61
2016-01-01,"Placer County, CA",Medicaid,740
2016-01-01,"Merrimack County, NH",Medicaid,365
2016-01-01,"Lane County, OR",Medicaid,1721
2016-01-01,"Alachua County, FL",Self Pay,85
2016-01-01,"Cherokee County, GA",Self Pay,259
2016-01-01,"Jefferson County, KY",Self Pay,213
2016-01-01,"Unidentified Counties, MT",Self Pay,558
2016-01-01,"Summit County, OH",Self Pay,116
2016-01-01,"Collin County, TX",Self Pay,566
2016-01-01,"Washington County, WI",Self Pay,21
2016-01-01,"Gaston County, NC",Private Insurance,1084
2016-01-01,"Lane County, OR",Private Insurance,1702
2016-01-01,"Beaufort County, SC",Unknown or Not Stated,10
2016-01-01,"Spartanburg County, SC",Unknown or Not Stated,10
2016-01-01,"Contra Costa County, CA",Other,170
2016-01-01,"Bay County, FL",Other,344
2016-01-01,"Lake County, FL",Other,48
2016-01-01,"Gwinnett County, GA",Other,473
2016-01-01,"Unidentified Counties, MD",Other,151
2016-01-01,"Franklin County, OH",Other,416
2016-01-01,"Canadian County, OK",Other,104
2016-01-01,"Providence County, RI",Other,47
2016-01-01,"Calhoun County, AL",Medicaid,792
2016-01-01,"Sebastian County, AR",Medicaid,736
2016-01-01,"El Paso County, CO",Medicaid,3323
2016-01-01,"Hall County, GA",Medicaid,1113
2016-01-01,"Unidentified Counties, ID",Medicaid,3979
2016-01-01,"Unidentified Counties, KS",Medicaid,5806
2016-01-01,"Hardin County, KY",Medicaid,598
2016-01-01,"Robeson County, NC",Medicaid,1293
2016-01-01,"Adams County, PA",Medicaid,263
2016-01-01,"Franklin County, PA",Medicaid,619
2016-01-01,"Montgomery County, TN",Medicaid,1105
2016-01-01,"Denton County, TX",Medicaid,2300
2016-01-01,"Grayson County, TX",Medicaid,800
2016-01-01,"Travis County, TX",Medicaid,6814
2016-01-01,"Unidentified Counties, VA",Medicaid,14880
2016-01-01,"Lee County, AL",Self Pay,13
2016-01-01,"Tippecanoe County, IN",Self Pay,39
2016-01-01,"Anne Arundel County, MD",Self Pay,125
2016-01-01,"Allegan County, MI",Self Pay,34
2016-01-01,"Ocean County, NJ",Self Pay,456
2016-01-01,"Orange County, NY",Self Pay,29
2016-01-01,"Henderson County, NC",Self Pay,29
2016-01-01,"Johnson County, TX",Self Pay,157
2016-01-01,"Nueces County, TX",Self Pay,138
2016-01-01,"Wichita County, TX",Self Pay,91
2016-01-01,"Stafford County, VA",Self Pay,32
2016-01-01,"Columbia County, GA",Private Insurance,822
2016-01-01,"Fayette County, KY",Private Insurance,2312
2016-01-01,"Cumberland County, NC",Private Insurance,948
2016-01-01,"Wood County, OH",Private Insurance,995
2016-01-01,"Spartanburg County, SC",Private Insurance,1585
2016-01-01,"Unidentified Counties, TN",Unknown or Not Stated,1044
2016-01-01,"Strafford County, NH",Other,125
2016-01-01,"Lexington County, SC",Other,95
2016-01-01,"Santa Clara County, CA",Medicaid,5606
2016-01-01,"Unidentified Counties, MA",Medicaid,177
2016-01-01,"Queens County, NY",Medicaid,17904
2016-01-01,"Linn County, OR",Medicaid,780
2016-01-01,"Multnomah County, OR",Medicaid,3462
2016-01-01,"Loudoun County, VA",Medicaid,859
2016-01-01,"Pima County, AZ",Self Pay,334
2016-01-01,"Unidentified Counties, AR",Self Pay,679
2016-01-01,"Marion County, FL",Self Pay,116
2016-01-01,"Unidentified Counties, NV",Self Pay,391
2016-01-01,"Union County, NJ",Self Pay,1181
2016-01-01,"Mecklenburg County, NC",Self Pay,1568
2016-01-01,"Pickens County, SC",Self Pay,35
2016-01-01,"Ellis County, TX",Self Pay,159
2016-01-01,"Unidentified Counties, WY",Self Pay,529
2016-01-01,"Stanislaus County, CA",Private Insurance,3431
2016-01-01,"El Paso County, CO",Private Insurance,3222
2016-01-01,"Unidentified Counties, IA",Private Insurance,12981
2016-01-01,"Yellowstone County, MT",Private Insurance,1031
2016-01-01,"New Hanover County, NC",Private Insurance,1234
2016-01-01,"Wake County, NC",Private Insurance,8751
2016-01-01,"Licking County, OH",Private Insurance,1140
2016-01-01,"Kent County, RI",Private Insurance,1033
2016-01-01,"Ouachita Parish, LA",Other,16
2016-01-01,"Hampden County, MA",Other,431
2016-01-01,"St. Louis County, MN",Other,72
2016-01-01,"Deschutes County, OR",Other,16
2016-01-01,"Sheboygan County, WI",Other,16
2016-01-01,"Marin County, CA",Medicaid,637
2016-01-01,"Unidentified Counties, ID",Self Pay,618
2016-01-01,"Johnson County, KS",Self Pay,425
2016-01-01,"Lucas County, OH",Self Pay,99
2016-01-01,"Kalamazoo County, MI",Private Insurance,1781
2016-01-01,"Hillsborough County, NH",Private Insurance,2971
2016-01-01,"Ulster County, NY",Private Insurance,774
2016-01-01,"Minnehaha County, SD",Private Insurance,1955
2016-01-01,"Benton County, WA",Unknown or Not Stated,24
2016-01-01,"Clark County, IN",Other,114
2016-01-01,"Penobscot County, ME",Other,28
2016-01-01,"Licking County, OH",Other,43
2016-01-01,"Nueces County, TX",Other,1225
2016-01-01,"Unidentified Counties, UT",Other,238
2016-01-01,"Kane County, IL",Medicaid,2770
2016-01-01,"Jefferson County, KY",Medicaid,4268
2016-01-01,"Washtenaw County, MI",Medicaid,842
2016-01-01,"Summit County, OH",Medicaid,2652
2016-01-01,"Tulsa County, OK",Medicaid,5064
2016-01-01,"Mercer County, PA",Medicaid,479
2016-01-01,"Nueces County, TX",Medicaid,1878
2016-01-01,"Unidentified Counties, UT",Medicaid,2065
2016-01-01,"New Castle County, DE",Self Pay,47
2016-01-01,"Whitfield County, GA",Self Pay,219
2016-01-01,"Sumter County, SC",Self Pay,33
2016-01-01,"Hidalgo County, TX",Self Pay,939
